Fecha,Ticker,Tipo,Precio,Capital_Operacion,Capital_Total,Retorno_%,Dias_en_Posicion,Año
2021-01-15,NXPI,BUY,157.8264923095703,253.82169652911747,253.82169652911747,0.0,0,2021
2021-01-15,SNOW,BUY,291.29998779296875,126.91084826455874,126.91084826455874,0.0,0,2021
2021-01-19,ISRG,SELL,259.4700012207031,3030.4968206211684,3157.407668885727,-1.2708787218591144,7,2021
2021-01-19,TMUS,SELL,124.8485336303711,1548.5873688090167,4705.995037694744,0.9013895705748398,7,2021
2021-01-20,CRWD,SELL,226.3300018310547,865.5991908660416,5571.594228560785,-0.0397475216935006,7,2021
2021-01-20,FTNT,SELL,30.058000564575195,439.96833551660984,6011.562564077395,1.6159588982488815,7,2021
2021-01-20,MDB,SELL,368.80999755859375,219.0697086456757,6230.632272723071,1.193548319569615,6,2021
2021-01-20,FANG,SELL,49.07693862915039,519.4688243736063,6750.101097096677,2.3294760607698306,5,2021
2021-01-20,FAST,BUY,21.46158790588379,3375.0505485483386,3375.0505485483386,0.0,0,2021
2021-01-20,KLAC,BUY,287.9905700683594,1687.5252742741693,1687.5252742741693,0.0,0,2021
2021-01-21,MTCH,SELL,140.34417724609375,104.93135897980612,1792.4566332539755,-3.059381319255561,7,2021
2021-01-21,ALGN,BUY,543.8099975585938,896.2283166269877,896.2283166269877,0.0,0,2021
2021-01-22,BKR,SELL,19.436899185180664,984.2108200535324,1880.4391366805203,-3.060806708792585,7,2021
2021-01-22,NXPI,SELL,157.89979553222656,253.93958515518645,2134.3787218357065,0.0464454487859145,7,2021
2021-01-22,SNOW,SELL,285.67999267578125,124.4623814693186,2258.841103305025,-1.929280931237698,7,2021
2021-01-22,CSX,BUY,27.22370719909668,1129.4205516525126,1129.4205516525126,0.0,0,2021
2021-01-22,ISRG,BUY,248.02667236328125,564.7102758262563,564.7102758262563,0.0,0,2021
2021-01-22,MU,BUY,80.28034210205078,282.35513791312815,282.35513791312815,0.0,0,2021
2021-01-25,BKR,BUY,18.454973220825195,141.17756895656407,141.17756895656407,0.0,0,2021
2021-01-26,ISRG,SELL,256.54998779296875,584.1162685825643,725.2938375391284,3.4364511479650472,4,2021
2021-01-26,CRWD,BUY,206.8000030517578,362.6469187695642,362.6469187695642,0.0,0,2021
2021-01-26,DDOG,BUY,103.5199966430664,181.3234593847821,181.3234593847821,0.0,0,2021
2021-01-27,FAST,SELL,21.073781967163086,3314.06416431855,3495.387623703332,-1.806976913457481,7,2021
