Fecha,Capital_Total,Max_Acumulado,Drawdown_%
2022-06-23,2448.3788889502985,271001.5239713758,-99.09654423596199
2022-06-23,4946.32762173672,271001.5239713758,-98.17479711949547
2022-06-29,31627.732923966112,271001.5239713758,-88.32931547377322
2022-06-29,18319.885331342506,271001.5239713758,-93.23993272699177
2022-06-29,27144.772930221494,271001.5239713758,-89.983534951232
2022-07-01,3644.941020527884,271001.5239713758,-98.65501087701894
2022-07-01,2596.280209624917,271001.5239713758,-99.04196840977944
2022-07-05,17836.76441156335,271001.5239713758,-93.41820512660757
2022-07-05,18386.477681017233,271001.5239713758,-93.21536004241833
2022-07-06,9662.33756261436,271001.5239713758,-96.43458183518004
2022-07-06,13616.473591271195,271001.5239713758,-94.97549925486418
2022-07-07,15549.119204882527,271001.5239713758,-94.26234990231093
2022-07-07,25114.957382509783,271001.5239713758,-90.73254016639312
2022-07-11,27458.893642199317,271001.5239713758,-89.86762390122219
2022-07-12,11378.594913179732,271001.5239713758,-95.80128010114748
2022-07-18,12728.55306266868,271001.5239713758,-95.3031433638679
2022-07-18,19774.993177789493,271001.5239713758,-92.70299558172293
2022-07-18,25557.59526340205,271001.5239713758,-90.56920607350476
2022-07-18,28535.13014360934,271001.5239713758,-89.47049089413116
2022-07-19,29967.528179870988,271001.5239713758,-88.94193370549597
2022-07-19,30701.874278430787,271001.5239713758,-88.6709588091934
2022-07-27,749.1521345627084,271001.5239713758,-99.72356165250132
2022-07-28,26254.544580133086,271001.5239713758,-90.31203065009103
2022-07-28,26513.175970099226,271001.5239713758,-90.21659524951615
2022-07-28,16415.979166881996,271001.5239713758,-93.94247717639554
2022-07-28,24189.128048154864,271001.5239713758,-91.07417268594038
2022-07-29,30536.637321156042,271001.5239713758,-88.7319315132776
2022-07-29,31552.953973415064,271001.5239713758,-88.356909027291
2022-08-03,24945.966147853833,271001.5239713758,-90.79489820489397
2022-08-08,8376.885773446951,271001.5239713758,-96.90891562132627
