Fecha,Ticker,Tipo,Precio,Capital_Invertido,Capital_Recuperado,Beneficio,Retorno_%,Dias,operaciones_abiertas,Total_Invertido_global,Total_disponible
2026-01-26,MU,BUY,389.0899963378906,23308.121716013542,0.0,0.0,0.0,0,6,181377.8044314539,93232.48686405417
2026-01-26,TSLA,BUY,435.20001220703125,18646.497372810834,0.0,0.0,0.0,0,7,200024.30180426475,74585.98949124334
2026-01-27,MRVL,SELL,82.93000030517578,27697.21587844049,28629.316030722628,932.1001522821389,3.365320746940803,4,4,102786.23083070097,176883.40822675824
2026-01-27,MU,SELL,410.239990234375,23308.121716013542,24575.09500412682,1266.9732881132768,5.435758846423133,1,3,79478.10911468742,201458.50323088505
2026-01-27,AMAT,SELL,332.2955627441406,42001.94783715499,43913.1045152466,1911.156678091611,4.550162019869464,7,6,158022.35396710975,118499.09400648993
2026-01-27,LRCX,SELL,238.4600067138672,27538.907257968294,29754.998189545688,2216.0909315773933,8.047127327233273,5,5,130483.44670914146,148254.0921960356
2026-01-29,MRVL,BUY,81.33999633789062,40291.700646177014,0.0,0.0,0.0,0,4,119769.80976086445,161166.80258470803
2026-01-30,AMAT,BUY,321.91851806640625,32233.360516941608,0.0,0.0,0.0,0,5,152003.17027780606,128933.44206776642
2026-01-30,KLAC,BUY,1426.0869140625,25786.688413553285,0.0,0.0,0.0,0,6,177789.85869135935,103146.75365421313
2026-01-30,LRCX,BUY,233.4600067138672,20629.350730842627,0.0,0.0,0.0,0,7,198419.20942220197,82517.40292337051
2026-01-30,MU,BUY,414.8800048828125,16503.480584674104,0.0,0.0,0.0,0,8,214922.69000687607,66013.9223386964
2026-02-02,AMD,SELL,246.27000427246094,29135.152145016928,28550.84999775712,-584.3021472598084,-2.0054885739106854,7,7,185787.53786185913,94564.77233645352
2026-02-02,TSLA,SELL,421.80999755859375,18646.497372810834,18072.79133889369,-573.7060339171439,-3.0767496031382624,7,6,167141.0404890483,112637.5636753472
2026-02-02,MU,SELL,437.79998779296875,16503.480584674104,17415.21286510943,911.732280435328,5.524484824625442,3,5,150637.5599043742,130052.77654045663
2026-02-02,NVDA,BUY,185.61000061035156,26010.555308091327,0.0,0.0,0.0,0,6,176648.11521246552,104042.22123236531
2026-02-03,MU,BUY,419.44000244140625,20808.444246473064,0.0,0.0,0.0,0,7,197456.5594589386,83233.77698589224
2026-02-04,TSLA,BUY,406.010009765625,13317.40431774276,0.0,0.0,0.0,0,9,227420.7191738598,53269.61727097103
2026-02-04,AMD,BUY,200.19000244140625,16646.755397178447,0.0,0.0,0.0,0,8,214103.31485611704,66587.02158871379
2026-02-05,MRVL,SELL,74.20999908447266,40291.700646177014,36759.86233935676,-3531.838306820253,-8.76567196265855,7,8,187129.01852768278,90029.47961032779
2026-02-06,AMD,SELL,208.44000244140625,16646.755397178447,17332.78232335784,686.026926179391,4.121084919020723,2,4,91832.86346916681,186085.2299366673
2026-02-06,LRCX,SELL,231.00999450683594,20629.350730842627,20412.85899923894,-216.4917316036881,-1.0494355078272677,7,5,108479.61886634526,168752.44761330946
2026-02-06,AMAT,SELL,322.1082763671875,32233.360516941608,32252.36081477133,19.000297829723422,0.05894606558238813,7,7,154895.65801074117,122281.84042509913
2026-02-06,KLAC,SELL,1441.077392578125,25786.688413553285,26057.748188971396,271.0597754181108,1.0511616345262986,7,6,129108.96959718788,148339.58861407053
2026-02-09,NVDA,SELL,190.0399932861328,26010.555308091327,26631.35466765677,620.7993595654443,2.3867208993124667,7,3,65822.30816107549,212716.58460432407
2026-02-09,TSLA,SELL,417.32000732421875,13317.40431774276,13688.379925973266,370.9756082305066,2.785645005432902,5,2,52504.90384333273,226404.96453029735
